relevant,entities,id,A,B,C
1,O ID O O O PRO O ID O O O O O O,841794890761670659,0,0,1
1,O PRO PRO O O O O O VUL VUL VUL O O,841982556669149185,1,1,0
1,O O PRO O O ID ID ID ID O O O,839222394673823744,0,0,1
1,O PRO PRO VER O O O O O O,839728215690207232,1,1,0
1,O PRO PRO O O O O O VUL VUL VUL O O,841981717313290240,1,1,0
1,ID ORG PRO O VER VER VER O O O O O VUL VUL O,841848955663196160,0,0,1
-1,,839821640326340608,1,1,0
1,PRO O O O O VER O O O O,836330856759365632,0,0,1
1,O ID O O O PRO O O ID,841816857690681346,0,0,1
-1,,839592932059541517,0,0,1
1,O VUL PRO VER O O O VUL O O,840573137863487488,0,0,1
1,ID O O O PRO O ID,842115087087345665,0,0,1
1,ORG PRO O VUL VUL O O O VUL VUL VUL VUL O O O,841753643623845892,0,0,1
1,O ID PRO O O O VUL VUL VUL VUL O PRO PRO VER O,841511777380761600,1,1,0
1,ID VUL VUL VUL O O O O ORG O ORG PRO PRO O VER,841848950701342720,1,1,1
1,ID O O O O O O O O ORG O ORG O O,841808782409797632,0,0,1
1,ORG O O O VUL VUL VUL O O O O VUL VUL O,836518871163088896,0,0,1
-1,,839892723339517957,1,1,0
1,ID VUL VUL VUL O O O O ORG O ORG PRO PRO O VER,841808801430962178,1,1,1
1,O ID PRO O O O O O O O PRO O O,839520936449703936,0,1,1
-1,,840870203437260800,0,0,1
-1,,836900428566642688,0,0,1
-1,,842127554207178761,0,0,1
1,ID ORG PRO PRO O VER VER VER O O O VUL VUL VUL,841848963036782592,0,0,1
1,O ID ORG PRO PRO O VER VER VER O O O O O O O,841852285089120257,0,0,1
-1,,839843076965351424,1,1,0
1,O O ORG PRO O O VUL VUL O O O,839264170985959425,0,0,1
-1,,841370122753314817,0,0,1
1,ID ORG PRO PRO O VER O O O O O O O O O O,841848964458647552,0,0,1
1,O PRO PRO VUL VUL VUL O O,841295939000233985,1,1,0
1,ORG O O O O O O ORG PRO O O O,836919342897967104,1,0,0
-1,,842152210679050240,1,0,0
1,O PRO O O O O VUL VUL VUL VUL VUL VUL O,840098433532751872,1,0,0
1,O ORG PRO O O PRO VER VUL VUL ID,841989489295794176,0,0,1
1,O O O O ID O O PRO PRO O,841196400184565760,1,1,0
-1,,839898610829443072,1,0,1
-1,,840540359025426432,1,1,0
